Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
DS1,KT-0805G,TopLayer,WL-SMCW_0805_150080xx75000,"51,5874mm","64,3880mm",90,-40?~+85? 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Emerald Green 0805 LED Indication - Discrete ROHS
D4,SMCJ28A,TopLayer,FAIR-DO-214AB-2_V,"176,0160mm","13,5882mm",90,SMCJ Series 45.4 V 1.5 kW Surface Mount Uni-Directional TVS Diode - DO-214AB
D3,SMCJ28A,TopLayer,FAIR-DO-214AB-2_V,"153,1258mm","22,7688mm",90,SMCJ Series 45.4 V 1.5 kW Surface Mount Uni-Directional TVS Diode - DO-214AB
R5,1206W4F0000T5E,TopLayer,RESC3216X60X45NL15T20,"156,9105mm","56,9234mm",90,Thick Film Resistors - SMD RMC 1206 1/4W 1% T/R-5000
R4,1206W4F0000T5E,TopLayer,RESC3216X60X45NL15T20,"159,5105mm","56,9234mm",90,Thick Film Resistors - SMD RMC 1206 1/4W 1% T/R-5000
C51,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"130,1122mm","21,0843mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C50,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"125,9042mm","21,0843mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
U7,LMR33630ADDAR,TopLayer,SOIC127P600X170_HS-9N,"56,1569mm","40,9220mm",270,"SIMPLE SWITCHER® 3.8V to 36V, 3A Synchronous Buck Converter With Ultra-Low EMI 8-SO PowerPAD -40 to 125"
U8,LMR33630ADDAR,TopLayer,SOIC127P600X170_HS-9N,"49,9144mm","8,6872mm",0,"SIMPLE SWITCHER® 3.8V to 36V, 3A Synchronous Buck Converter With Ultra-Low EMI 8-SO PowerPAD -40 to 125"
R17,0805W8F4302T5E,TopLayer,RESC0805(2012)_L,"80,3663mm","16,5989mm",0,125mW Thick Film Resistors 150V ±100ppm/? ±1% 43kO 0805 Chip Resistor - Surface Mount ROHS
R12,1206W4F1002T5E,TopLayer,RESC3216X60X45ML15T20,"44,1960mm","29,8704mm",0,Res Thick Film 1206 10K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R
R15,1206W4F1002T5E,TopLayer,RESC3216X60X45ML15T20,"81,1304mm","21,6468mm",180,Res Thick Film 1206 10K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R
R14,1206W4F1003T5E,TopLayer,RESC3216X60X45NL15T20,"76,3264mm","21,2528mm",90,"Fixed Resistor, Metal Glaze/thick Film, 0.25W, 100000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
R16,1206W4F1003T5E,TopLayer,RESC3216X60X45NL15T20,"81,1924mm","13,2449mm",270,"Fixed Resistor, Metal Glaze/thick Film, 0.25W, 100000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
L1,SRR1208-220ML,TopLayer,INDP127127X85N,"63,6434mm","26,9640mm",0,Inductor Power Shielded Wirewound 22uH 20% 1KHz 23Q-Factor Ferrite 3.5A 0.043Ohm DCR T/R
L2,SRR1260A-5R6Y,TopLayer,INDP125125X60N,"64,6014mm","9,6778mm",0,Ind Power Shielded Wirewound 5.6uH 30% 100KHz 19Q-Factor Ferrite 6.7A T/R
D1,SS210,TopLayer,DIOM4226X24N,"143,4097mm","17,3900mm",180,"Rectifier Diode, Schottky, 1 Phase, 1 Element, 2A, 100V V(RRM), Silicon, DO-214AA"
D2,SS210,TopLayer,DIOM4226X24N,"142,8157mm","49,8276mm",180,"Rectifier Diode, Schottky, 1 Phase, 1 Element, 2A, 100V V(RRM), Silicon, DO-214AA"
C67,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"80,5325mm","29,2411mm",180,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C62,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"66,4955mm","44,3111mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C72,CL31B104KBCNNNC,TopLayer,CAPC3216X190X55ML30T25,"40,8924mm","10,3130mm",270,50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C64,CL31B104KBCNNNC,TopLayer,CAPC3216X190X55ML30T25,"70,0995mm","45,0341mm",270,50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C74,CL31B104KBCNNNC,TopLayer,CAPC3216X190X55ML30T25,"73,5804mm","13,9153mm",270,50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C70,CL31B105KBHNNNE,TopLayer,CAPC3216X180X20ML20,"53,2485mm","35,5076mm",0,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 1206 inch"
